id,product_name,sell_price,product_amount,sell_date
4,orange,1,3.0,,empty buy date,,2100-01-01
5,milk,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,3.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,5.0,,empty buy date,,2100-01-01
<built-in function id>,orange,1,5.0,,empty buy date,,2100-01-01
2,orange,1,5.0,5.0,[31m!!!!!!empty buy date!!!!!![39m,!!!!!empty sell date!!!!!,2100-01-01
3,orange,1,5.0,2.0,!!!!!!empty buy date!!!!!!,!!!!!empty sell date!!!!!,2100-01-01
